word	pos
mi	blue
Suspendisse	blue
Fusce	green
imperdiet	orange
Quisque	orange
lectus	blue
montes,	orange
nunc	indigo
vitae,	violet
elit	green
nec	indigo
sodales	violet
fringilla	blue
nascetur	orange
tincidunt	green
Morbi	indigo
fermentum	green
nibh.	red
vestibulum	blue
tempor	indigo
neque.	violet
Nunc	green
nonummy	red
adipiscing	green
tellus.	yellow
Aliquam	indigo
eu	green
lacus.	green
Quisque	orange
blandit	green
torquent	indigo
cursus	blue
posuere	red
pellentesque	yellow
auctor,	violet
semper	violet
aliquet.	red
mi,	orange
Aliquam	yellow
Nulla	violet
lobortis	yellow
mauris	indigo
dictum	red
odio	yellow
quis,	indigo
lobortis	orange
vitae,	blue
fringilla	yellow
commodo	violet
ullamcorper,	red
Proin	yellow
odio	orange
auctor	red
in	green
et	red
iaculis,	orange
justo	violet
orci.	indigo
Fusce	red
lacus.	orange
accumsan	yellow
erat	red
Nunc	red
adipiscing	indigo
Nulla	red
mi.	red
eu	red
Proin	blue
eget,	violet
auctor	green
sem	red
nunc	orange
eu	green
et	yellow
Phasellus	orange
ipsum	red
vitae,	yellow
vel	violet
elit,	indigo
vestibulum	indigo
erat	orange
pede.	blue
nulla	yellow
Etiam	green
eu	orange
Cum	yellow
consectetuer	indigo
consequat	blue
Aenean	orange
libero	violet
orci.	red
fermentum	orange
sed	orange
augue	blue
Phasellus	red
at	orange
ipsum	blue
vulputate,	red
volutpat.	violet
aliquam,	green
